artist,song,duration_ms,year,popularity,danceability,energy,tempo,genre
Destiny's Child,"Jumpin', Jumpin'",230200,1999,70,0.771,0.685,88.997,"pop, R&B"
Céline Dion,That's the Way It Is,241373,1999,64,0.634,0.886,93.04,pop
3 Doors Down,Kryptonite,233933,2000,78,0.545,0.865,99.009,"pop, rock, metal"
Carl Thomas,I Wish,226760,2000,52,0.736,0.666,89.824,"pop, R&B"
Mystikal,Shake Ya Ass,256973,2000,57,0.914,0.607,98.054,"hip hop, pop"
Fuel,Hemorrhage (In My Hands),236866,2000,49,0.313,0.831,152.034,"rock, pop, metal"
Donell Jones,Where I Wanna Be,253626,1999,57,0.664,0.396,102.053,"pop, R&B"
Savage Garden,Crash and Burn,281466,1999,54,0.581,0.607,102.03,pop
Westlife,My Love,231760,2000,68,0.491,0.593,144.142,pop
All Saints,Pure Shores,268746,2000,62,0.631,0.664,100.618,pop
Destiny's Child,"Independent Women, Pt. 1",221133,2001,65,0.73,0.602,97.954,"pop, R&B"
*NSYNC,It's Gonna Be Me,191040,2000,60,0.644,0.874,165.09,pop
Erykah Badu,Bag Lady,348893,2000,54,0.724,0.416,151.181,"hip hop, R&B"
Marc Anthony,You Sang To Me,347106,1999,56,0.578,0.894,165.98,"pop, latin"
Matchbox Twenty,Bent,256133,2000,54,0.518,0.83,95.468,"pop, rock"
Gabrielle,Rise,219093,2001,60,0.558,0.481,144.673,"pop, R&B"
Backstreet Boys,Shape of My Heart,230093,2000,70,0.575,0.786,96.102,pop
Creed,With Arms Wide Open,274800,1999,64,0.41,0.539,138.852,"pop, rock, metal"
The Corrs,Breathless,207506,2000,68,0.607,0.82,126.988,"pop, Folk/Acoustic"
Joe,I Wanna Know,296693,2000,65,0.725,0.487,136.086,"pop, R&B"
Wheatus,Teenage Dirtbag,241666,1999,71,0.625,0.85,94.661,set()
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,203333,1999,64,0.829,0.915,118.903,pop
Creed,Higher,316733,1999,69,0.459,0.83,155.827,"pop, rock, metal"
Britney Spears,Lucky,206226,2000,65,0.765,0.791,95.026,pop
Nelly,Country Grammar (Hot Shit),287000,2000,68,0.865,0.664,162.831,"hip hop, pop, R&B"
Shaggy,It Wasn't Me,227600,2000,76,0.853,0.606,94.759,"hip hop, pop"
Destiny's Child,Survivor,254026,2001,70,0.514,0.911,161.109,"pop, R&B"
Eminem,Stan,404106,2000,83,0.78,0.768,80.063,hip hop
Kylie Minogue,Can't Get You out of My Head,230640,2001,73,0.766,0.563,126.007,"pop, Dance/Electronic"
Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",264893,2001,68,0.76,0.801,109.919,pop
Nelly Furtado,I'm Like A Bird,243160,2000,1,0.622,0.608,89.661,"hip hop, pop, latin"
Shakira,"Whenever, Wherever",196160,2001,74,0.794,0.832,107.657,"pop, latin"
Jimmy Eat World,The Middle,165853,2001,78,0.643,0.849,162.152,"rock, pop"
Train,Drops of Jupiter (Tell Me),259933,2001,77,0.481,0.638,79.064,pop
Geri Halliwell,It's Raining Men,254640,2001,62,0.637,0.929,136.482,pop
Blu Cantrell,Hit 'Em Up Style (Oops!),250706,2001,71,0.667,0.773,89.976,"pop, R&B"
Britney Spears,I'm a Slave 4 U,203600,2001,69,0.847,0.843,110.027,pop
Kylie Minogue,In Your Eyes,197826,2001,62,0.689,0.894,123.971,"pop, Dance/Electronic"
Missy Elliott,One Minute Man (feat. Ludacris),252986,2001,57,0.622,0.669,93.839,"hip hop, pop, R&B"
Mary J. Blige,Family Affair,265866,2001,76,0.911,0.551,92.887,"pop, R&B"
Faithless,We Come 1 - Radio Edit,222435,2015,53,0.645,0.903,135.977,"pop, Dance/Electronic"
Limp Bizkit,Rollin' (Air Raid Vehicle),213760,2000,73,0.603,0.933,96.306,metal
Lasgo,Something,220973,2001,65,0.643,0.981,140.01,pop
iio,Rapture (feat.Nadia Ali),253586,2006,54,0.661,0.855,123.943,Dance/Electronic
Emma Bunton,What Took You So Long?,241000,2001,54,0.668,0.772,118.011,pop
Blue,All Rise,223546,2001,63,0.721,0.737,97.996,pop
Jessica Simpson,Irresistible,194026,2001,43,0.657,0.965,93.013,"pop, R&B"
Crazy Town,Butterfly,216733,1999,71,0.736,0.811,103.502,"rock, metal"
Michael Jackson,You Rock My World,337733,2001,64,0.854,0.673,95,"pop, R&B"
Eve,Let Me Blow Ya Mind,230133,2001,73,0.908,0.557,90.032,"hip hop, pop, R&B"
Jennifer Lopez,Ain't It Funny,246160,2001,0,0.707,0.869,99.825,"hip hop, pop, R&B"
Brandy,Another Day in Paradise - R&B-Version,271626,2002,50,0.7,0.787,102.043,"hip hop, pop, R&B"
Nickelback,How You Remind Me,223840,2001,78,0.446,0.764,172.094,"rock, metal"
Daft Punk,One More Time,320357,2001,76,0.613,0.697,122.746,"hip hop, Dance/Electronic"
Outkast,Ms. Jackson,270506,2000,82,0.843,0.806,94.948,"hip hop, pop"
Fragma,Everytime You Need Me - Radio Version,213346,2001,50,0.682,0.917,137.029,"pop, Dance/Electronic"
Mariah Carey,Loverboy,229173,2001,42,0.721,0.79,103.141,"pop, R&B"
Dido,Thank You,218360,1999,73,0.725,0.583,79.984,pop
Joe,Stutter (feat. Mystikal) - Double Take Remix,213026,2000,57,0.767,0.759,89.989,"pop, R&B"
P.O.D.,Youth of the Nation,256240,2001,69,0.563,0.86,97.867,"rock, metal"
Jennifer Lopez,Play,211493,2001,57,0.775,0.729,104.719,"hip hop, pop, R&B"
Missy Elliott,Get Ur Freak On,211120,2001,68,0.797,0.75,177.87,"hip hop, pop, R&B"
Ricky Martin,Nobody Wants to Be Lonely (with Christina Aguilera),252706,2008,52,0.635,0.854,100.851,"pop, latin"
Christina Milian,AM To PM,231213,2001,60,0.872,0.868,105.005,"hip hop, pop, R&B"
Roger Sanchez,Another Chance,452906,2000,50,0.61,0.82,127.993,Dance/Electronic
Gorillaz,Clint Eastwood,340920,2001,74,0.663,0.694,167.953,hip hop
2Pac,Until The End Of Time,266506,2001,57,0.757,0.706,96.976,hip hop
Tamia,Stranger in My House,285386,2000,48,0.676,0.601,119.94,"pop, R&B"
Mary J. Blige,No More Drama,326240,2001,61,0.653,0.837,97.914,"pop, R&B"
Jennifer Lopez,Love Don't Cost a Thing,221226,2001,67,0.786,0.842,97.577,"hip hop, pop, R&B"
Jamiroquai,Little L,295400,2001,65,0.878,0.724,121.906,pop
Case,Missing You,284666,2001,55,0.612,0.579,86.31,"hip hop, pop, R&B"
Five,Let's Dance - Radio Edit,218626,2001,47,0.631,0.821,118.007,pop
Rui Da Silva,Touch Me (Radio Edit) [feat. Cassandra],213133,2001,54,0.464,0.922,129.078,Dance/Electronic
Alien Ant Farm,Smooth Criminal,209266,2001,75,0.653,0.964,126.928,"rock, metal"
Erick Sermon,Music (feat. Marvin Gaye),223133,2001,57,0.897,0.466,100.01,"hip hop, pop"
D12,Purple Pills,304506,2001,68,0.78,0.634,125.25,"hip hop, pop, rock"
Usher,Pop Ya Collar - Radio Edit,210813,2016,26,0.888,0.8,106.957,"hip hop, pop, R&B"
Madonna,Don't Tell Me,280973,2000,53,0.699,0.618,99.965,pop
Blue,If You Come Back,207560,2001,58,0.582,0.707,78.375,pop
Atomic Kitten,Eternal Flame - Single Version,195506,2001,58,0.578,0.581,83.293,pop
Jagged Edge,Where the Party At (feat. Nelly),232573,2001,67,0.596,0.661,129.491,"hip hop, pop, R&B"
Afroman,Because I Got High,197760,2001,68,0.802,0.341,166.01,hip hop
S Club 7,Don't Stop Movin',233626,2001,63,0.822,0.672,117.033,pop
Craig David,Fill Me In,257200,2000,60,0.682,0.744,132.493,"hip hop, pop, R&B"
Nelly Furtado,Turn Off The Light,276106,2000,1,0.587,0.679,180.184,"hip hop, pop, latin"
The Supermen Lovers,Starlight - Radio Edit,234400,2001,61,0.739,0.679,127.487,Dance/Electronic
Mis-Teeq,All I Want - Sunship Radio Edit,207400,2004,46,0.795,0.919,134.079,"pop, Dance/Electronic"
Jagged Edge,Promise,246720,2000,56,0.751,0.568,128.002,"hip hop, pop, R&B"
S Club 7,Have You Ever,201533,2001,60,0.585,0.702,139.909,pop
Enya,Only Time,218546,2000,69,0.418,0.249,82.803,"World/Traditional, Folk/Acoustic"
Faith Hill,There You'll Be,222120,2001,60,0.321,0.511,128.98,"pop, country"
Ronan Keating,Lovin' Each Day,212973,2000,58,0.541,0.899,106.676,"pop, rock"
Destiny's Child,Bootylicious,207906,2001,64,0.84,0.835,103.376,"pop, R&B"
Steps,It's the Way You Make Me Feel,197360,2000,53,0.573,0.665,105.006,"pop, Dance/Electronic"
Sunshine Anderson,Heard It All Before,295826,2001,56,0.697,0.925,96.951,"pop, R&B"
Lenny Kravitz,Again,231666,2000,68,0.55,0.804,79.166,"rock, pop"
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,162333,2002,46,0.836,0.762,133.592,pop
DB Boulevard,Point Of View - Radio Edit,231166,2018,0,0.676,0.715,129.006,Dance/Electronic
Janet Jackson,All For You,329933,2001,65,0.753,0.934,113.525,"pop, R&B"
Atomic Kitten,Whole Again,185013,2001,66,0.747,0.706,94.019,pop
Ja Rule,Livin' It Up,257066,2001,64,0.874,0.768,106.095,"hip hop, pop, R&B"
Destiny's Child,"Independent Women, Pt. 1",221133,2001,65,0.73,0.602,97.954,"pop, R&B"
DJ Pied Piper & The Masters Of Ceremonies,Do You Really Like It? - Radio Edit,217120,2001,54,0.847,0.877,131.044,Dance/Electronic
Jennifer Lopez,I'm Real (feat. Ja Rule) - Murder Remix,262133,2001,66,0.708,0.587,83.46,"hip hop, pop, R&B"
Musiq Soulchild,Love,304666,2000,0,0.569,0.385,99.738,"pop, R&B"
So Solid Crew,21 Seconds,302826,2001,51,0.607,0.637,137.03,Dance/Electronic
Robbie Williams,Eternity,302760,2001,48,0.469,0.316,77.967,"pop, rock"
Basement Jaxx,Romeo,217493,2001,0,0.713,0.829,126.853,"pop, Dance/Electronic"
Ludacris,Southern Hospitality (Featuring Pharrell),300933,2000,54,0.623,0.896,95.158,"hip hop, pop"
Gabrielle,Rise,219093,2001,60,0.558,0.481,144.673,"pop, R&B"
Nelly,Ride Wit Me,291781,2000,75,0.85,0.7,101.875,"hip hop, pop, R&B"
Trick Daddy,I'm a Thug,254400,2001,59,0.933,0.561,139.976,"hip hop, pop"
Travis,Sing,228800,2001,68,0.33,0.905,163.142,"rock, pop"
JAY-Z,Izzo (H.O.V.A.),240626,2001,63,0.618,0.844,84.411,hip hop
Gabrielle,Out Of Reach,196986,2001,69,0.51,0.48,182.862,"pop, R&B"
OPM,Heaven Is a Halfpipe (If I Die),257426,2000,56,0.743,0.894,95.9,rock
K-Ci & JoJo,Crazy,262773,2019,30,0.68,0.644,116.097,"pop, R&B"
Staind,It's Been Awhile,264706,2001,64,0.509,0.774,116.529,"rock, metal"
3LW,No More (Baby I'ma Do Right),263440,2000,56,0.721,0.723,88.933,"pop, R&B"
Ginuwine,Differences,265533,2001,65,0.562,0.594,62.876,"hip hop, pop, R&B"
*NSYNC,Gone,292000,2001,45,0.699,0.403,113.922,pop
Lifehouse,Hanging By A Moment,216360,2000,61,0.537,0.858,124.599,"pop, rock, metal"
Nelly,Dilemma,289160,2002,77,0.727,0.552,168.189,"hip hop, pop, R&B"
Eminem,Without Me,290320,2002,87,0.908,0.669,112.238,hip hop
Avril Lavigne,Complicated,244506,2002,78,0.585,0.776,77.987,pop
Vanessa Carlton,A Thousand Miles,237493,2002,75,0.56,0.825,94.931,"Folk/Acoustic, pop"
The Calling,Wherever You Will Go,208600,2001,72,0.558,0.719,112.027,pop
Shakira,Underneath Your Clothes,224066,2001,64,0.616,0.597,165.508,"pop, latin"
No Doubt,Underneath It All,302720,2001,27,0.729,0.731,138.202,"rock, pop"
Truth Hurts,Addictive,226440,2002,58,0.701,0.677,99.271,"pop, R&B"
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),324306,2002,68,0.648,0.759,85.996,"hip hop, pop"
Eminem,'Till I Collapse,297786,2002,85,0.548,0.847,171.447,hip hop
Diddy,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",285586,2004,69,0.713,0.471,199.764,"hip hop, pop"
Christina Milian,When You Look At Me - Radio Edit,222546,2001,60,0.955,0.839,108.955,"hip hop, pop, R&B"
Madonna,Die Another Day,276360,2003,53,0.792,0.797,123.993,pop
Jennifer Lopez,I'm Gonna Be Alright (feat. Nas),172240,2002,53,0.718,0.69,93.401,"hip hop, pop, R&B"
Angie Martinez,If I Could Go! (feat. Lil' Mo & Sacario),244466,2019,40,0.583,0.643,195.685,pop
Linkin Park,In the End,216880,2000,83,0.556,0.864,105.143,"rock, metal"
Las Ketchup,The Ketchup Song (Aserejé) - Spanglish Version,213973,2002,66,0.607,0.923,184.819,set()
Aaliyah,Rock The Boat,275026,2019,0,0.641,0.72,92.988,"hip hop, pop, R&B"
Holly Valance,Kiss Kiss,204400,2002,54,0.705,0.717,97.036,"pop, Dance/Electronic"
Sugababes,Round Round,236426,2002,59,0.74,0.845,126.607,"pop, R&B"
Marilyn Manson,Tainted Love,200426,2003,60,0.622,0.876,142.017,"rock, metal"
Brandy,What About Us?,253200,2002,43,0.686,0.698,93.118,"hip hop, pop, R&B"
Chad Kroeger,Hero (feat. Josey Scott),200480,2003,66,0.427,0.843,147.387,metal
Britney Spears,Overprotected - Radio Edit,198600,2001,61,0.682,0.894,95.992,pop
Scooter,The Logical Song,234116,2013,46,0.527,0.933,144.043,"pop, Dance/Electronic"
Missy Elliott,4 My People (feat. Eve),289373,2001,49,0.969,0.701,121.392,"hip hop, pop, R&B"
Aaliyah,More Than A Woman,230346,2002,42,0.646,0.638,86.994,"hip hop, pop, R&B"
Brandy,Full Moon,248933,2002,52,0.611,0.654,105.922,"hip hop, pop, R&B"
Blue,One Love,207186,2002,60,0.683,0.722,95.012,pop
Busta Rhymes,Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,238600,2001,55,0.697,0.793,89.767,"hip hop, pop"
Céline Dion,A New Day Has Come - Radio Remix,259773,2001,59,0.574,0.691,91.969,pop
Scooter,Nessaja,208449,2013,47,0.486,0.904,143.048,"pop, Dance/Electronic"
Eve,Gangsta Lovin',239266,2002,58,0.723,0.84,94.332,"hip hop, pop, R&B"
Disturbing Tha Peace,Move Bitch,272293,2002,59,0.777,0.751,177.894,"hip hop, pop"
Khia,"My Neck, My Back (Lick It)",222560,2015,59,0.859,0.625,102.072,"pop, R&B"
Tweet,Oops (Oh My) [feat. Missy Elliott],237800,2002,64,0.66,0.536,159.963,"hip hop, pop, R&B"
Kylie Minogue,Spinning Around,207866,2000,55,0.761,0.662,120.043,"pop, Dance/Electronic"
Nelly,Hot In Herre,228240,2002,75,0.956,0.745,107.075,"hip hop, pop, R&B"
Gareth Gates,Anyone of Us (Stupid Mistake),227866,2003,53,0.7,0.72,106.986,pop
Christina Aguilera,Dirrty (feat. Redman),298853,2002,68,0.64,0.889,99.931,pop
B2K,Uh Huh,223293,2002,49,0.855,0.681,99.699,"hip hop, pop, R&B"
Sugababes,Freak Like Me,195866,2002,45,0.517,0.919,91.868,"pop, R&B"
Dirty Vegas,Days Go By,432146,2002,48,0.786,0.853,126.99,Dance/Electronic
Fat Joe,What's Luv? (feat. Ja-Rule & Ashanti),267093,2001,73,0.835,0.707,93.955,"hip hop, pop"
Liberty X,Just A Little,237359,2019,43,0.786,0.614,103.887,pop
No Doubt,Hella Good,242586,2001,26,0.771,0.665,115.142,"rock, pop"
LL Cool J,Luv U Better,287000,2002,2,0.668,0.806,95.022,"hip hop, pop, R&B"
Red Hot Chili Peppers,Can't Stop,269000,2002,80,0.618,0.938,91.455,rock
Musiq Soulchild,Halfcrazy,254493,2002,58,0.412,0.77,101.955,"pop, R&B"
Sean Paul,Gimme the Light,228000,2002,59,0.778,0.761,107.288,"hip hop, pop"
Faith Evans,I Love You,267160,2001,53,0.489,0.757,168.004,"hip hop, pop, R&B"
Charli Baltimore,Down 4 U,318213,2002,47,0.64,0.59,83.133,pop
Kylie Minogue,Love at First Sight,238266,2001,55,0.603,0.774,124.994,"pop, Dance/Electronic"
N.O.R.E.,Nothin',264653,2002,58,0.791,0.863,97.035,"hip hop, pop"
Gareth Gates,Unchained Melody,233666,2003,35,0.368,0.426,106.52,pop
Diddy,I Need a Girl (Pt. 1) [feat. Usher & Loon],268800,2005,63,0.66,0.707,89.279,"hip hop, pop"
Big Brovaz,Nu Flow,201480,2001,45,0.783,0.726,148.062,pop
No Doubt,Hey Baby,207040,2001,24,0.705,0.872,93.63,"rock, pop"
Ashanti,Baby,265706,2002,55,0.567,0.58,157.596,"hip hop, pop, R&B"
Sophie Ellis-Bextor,Murder On The Dancefloor,230013,2002,62,0.734,0.848,117.31,"pop, Dance/Electronic"
Justin Timberlake,Like I Love You,283626,2002,62,0.853,0.811,114.964,pop
Mary J. Blige,Rainy Dayz,276373,2001,32,0.412,0.667,68.942,"pop, R&B"
A1,Caught in the Middle,206466,2001,53,0.519,0.874,96.072,pop
Eminem,Cleanin' Out My Closet,297840,2002,71,0.908,0.758,148.015,hip hop
Ashanti,Happy,262226,2002,61,0.727,0.515,89.488,"hip hop, pop, R&B"
Delta Goodrem,Born to Try,251280,2003,54,0.542,0.589,133.838,pop
P!nk,Get the Party Started,192533,2001,68,0.802,0.903,128.93,pop
Alicia Keys,A Woman's Worth,303333,2001,52,0.652,0.41,75.09,"pop, R&B"
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,161240,2002,56,0.838,0.764,133.592,pop
Coldplay,Clocks,307879,2002,79,0.577,0.749,130.97,"rock, pop"
Missy Elliott,Work It,263226,2002,70,0.884,0.677,101.868,"hip hop, pop, R&B"
Ronan Keating,If Tomorrow Never Comes,214306,2002,60,0.555,0.496,79.01,"pop, rock"
Big Tymers,Still Fly,335613,2002,64,0.675,0.607,177.928,"hip hop, pop"
Creed,My Sacrifice,294600,2001,69,0.32,0.88,146.349,"pop, rock, metal"
Ja Rule,Always On Time,245133,2001,73,0.839,0.706,96.673,"hip hop, pop, R&B"
Ashanti,Foolish,227386,2002,70,0.665,0.695,90.119,"hip hop, pop, R&B"
Avril Lavigne,Sk8er Boi,204000,2002,75,0.487,0.9,149.937,pop
DJ Sammy,Heaven,233600,2002,63,0.571,0.953,137.965,pop
Britney Spears,"I'm Not a Girl, Not Yet a Woman",231066,2001,58,0.534,0.543,78.996,pop
Cam’ron,Oh Boy,204706,2002,67,0.754,0.767,83.014,"hip hop, pop"
Red Hot Chili Peppers,By the Way,216933,2002,73,0.451,0.97,122.444,rock
Elvis Presley,A Little Less Conversation - JXL Radio Edit Remix,211506,2002,60,0.597,0.97,114.999,"rock, easy listening"
Atomic Kitten,The Tide Is High - Radio Mix,206093,2002,65,0.783,0.649,103.997,pop
*NSYNC,Girlfriend,253600,2001,50,0.745,0.807,93.967,pop
Robbie Williams,Somethin' Stupid,170493,2001,64,0.654,0.515,106.191,"pop, rock"
Alanis Morissette,Hands Clean,269400,2002,57,0.513,0.82,99.952,"pop, Folk/Acoustic"
Usher,U Don't Have to Call,269400,2001,59,0.793,0.568,100.005,"hip hop, pop, R&B"
Creed,One Last Breath - Radio Version,242000,2015,47,0.38,0.725,130.581,"pop, rock, metal"
The Goo Goo Dolls,Here Is Gone,238173,2002,56,0.338,0.685,102.192,"pop, rock"
Puddle Of Mudd,She Hates Me,216760,2001,70,0.58,0.748,109.781,"rock, metal"
Ludacris,Rollout (My Business),296586,2001,60,0.921,0.668,131.059,"hip hop, pop"
Blazin' Squad,Crossroads - Radio Edit,188693,2012,40,0.661,0.746,144.188,set()
Default,Wasting My Time,268693,2001,40,0.443,0.769,147.973,"rock, pop, metal"
Michelle Branch,All You Wanted,217680,2001,60,0.499,0.72,96.103,"pop, Folk/Acoustic"
Daniel Bedingfield,If You're Not The One,257026,2002,58,0.688,0.538,119.998,pop
Enrique Iglesias,Escape,208626,2001,56,0.776,0.844,125.972,"pop, latin"
Puddle Of Mudd,Blurry,303920,2001,64,0.432,0.936,157.469,"rock, metal"
Coldplay,In My Place,226680,2002,72,0.424,0.588,144.636,"rock, pop"
Outkast,The Whole World (feat. Killer Mike),295346,2001,51,0.814,0.852,184.682,"hip hop, pop"
P!nk,Don't Let Me Get Me - Radio Edit,210693,2001,60,0.624,0.85,98.525,pop
50 Cent,In Da Club,193466,2003,81,0.899,0.713,90.051,"hip hop, pop"
Sean Paul,Get Busy,211666,2002,74,0.735,0.824,100.202,"hip hop, pop"
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",322226,2004,77,0.686,0.735,171.355,hip hop
Beyoncé,Crazy In Love (feat. Jay-Z),236133,2003,76,0.646,0.77,99.165,"pop, R&B"
Counting Crows,Big Yellow Taxi,225426,2003,50,0.669,0.873,88.029,"rock, pop"
Black Eyed Peas,Where Is The Love?,272533,2003,68,0.835,0.687,94.059,"hip hop, pop"
