company,total_layoffs,reported_date,industry,headquarter_location,sources,status,additional_notes
Remote,100,07-06-2022,HR Tech,San Francisco,Publico,Private,
SQream Technologies,30,07-06-2022,Data Analytics,New York,CTech,Private,
Sendoso,100,06-06-2022,Marketing Automation,San Francisco,Business Insider,Private,
Reef,750,05-06-2022,"Food delivery, ecommerce",Miami,The Information,Private,
On Deck,72,05-05-2022,Business development,San Francisco,TechCrunch,Private,
Vise,25,05-04-2022,Fintech,New York,CityWire,Private,
Rasa,59,04-04-2022,Artificial Intelligence,San Francisco,Business Insider,Private,"Rasa was founded in Berlin but moved its headquarters to San Francisco in 2019. Layoffs affected employees in the U.S., Germany, and U.K. Layoffs affected around 40% of employees."
Stord,59,06-03-2022,Logistics,Atlanta,Business Insider,Private,
Rhino,57,02-03-2022,"PropTech, InsurTech",New York,The Real Deal,Private,
Opendoor,550,11-02-2022,Proptech,San Francisco,Opendoor CEO,Public,
Robinhood,1013,08-02-2022,Fintech,Menlo Park,Robinhood,Public,
Sourcepoint,7,06-02-2022,"Privacy Tech, Marketing Tech",New York,Crunchbase News reporting,Private,Company did not respond to a request to confirm details of layoffs. Layoffs affected around 13% of employees.
Upstart,60,11-01-2022,Fintech,"San Carlos, CA",TechCrunch,Private,
WanderJaunt,85,07-01-2022,"PropTech, Real Estate",San Francisco,Short Term Rentalz,Private,
Cybereason,100,06-01-2022,Cybersecurity,Boston,CTech,Private,"Affected employees are in U.S., Israel, and Europe."
